1,2,3,4,5,6,7
,open,high,low,close,volume,value
26:26.3,183,183,183,183,27213.09922,4979997.157
26:35.6,183,183,183,183,27213.09922,4979997.157
26:44.9,183,183,183,183,27213.09922,4979997.157
26:54.6,183,184,183,183,27454.49608,5024365.9
27:12.8,183,183,183,183,113.1174863,20700.5
27:21.6,183,183,183,183,113.1174863,20700.5
27:30.9,183,184,183,184,163.8946602,30043.5
27:39.8,183,184,183,184,8631.635704,1587914.735
28:13.8,183,183,183,183,126.5587432,23160.25
28:21.9,183,183,183,183,126.5587432,23160.25
28:30.1,183,183,183,183,126.5587432,23160.25
28:56.8,183,183,183,183,291.1174863,53274.5
29:05.6,183,183,183,183,56.55874316,10350.25
29:16.2,183,184,183,184,7586.72426,1395659.308
29:24.9,183,184,183,183,7876.40049,1448670.058
29:50.8,183,184,183,183,7918.959233,1456458.308
29:58.2,183,184,183,183,7918.959233,1456458.308
30:06.8,183,184,183,183,7963.403233,1464591.56
30:22.9,183,184,183,183,7963.403233,1464591.56
30:32.3,183,183,183,183,1715.265866,313893.6535
30:41.2,183,183,183,183,3623.649219,663127.807
30:57.7,183,184,183,184,15083.81602,2771321.403
31:24.8,183,184,183,183,16992.19937,3120555.556
31:32.8,184,184,183,184,18395.61351,3384265.79
31:41.4,184,185,183,185,21328.26216,3926805.79
31:52.7,184,185,183,184,21805.358,4014591.424
32:02.2,184,185,183,184,21805.358,4014591.424
32:19.7,184,185,183,184,21805.358,4014591.424
32:28.8,184,184,184,184,440.5286344,81057.26872
32:38.6,184,184,184,184,440.5286344,81057.26872
32:46.6,184,184,184,184,440.5286344,81057.26872
33:12.4,184,184,184,184,440.5286344,81057.26872
33:21.2,184,184,184,184,440.5286344,81057.26872
33:28.7,184,184,184,184,440.5286344,81057.26872
33:37.2,185,185,185,185,540.5405405,100000
33:45.0,185,185,184,184,898.3624191,165839.2257
33:53.8,185,185,184,184,22378.57689,4118198.688
34:01.7,185,185,184,184,22943.26,4222396.697
34:20.2,185,185,184,184,22943.26,4222396.697
34:29.0,185,185,185,185,2262,418470
34:38.0,185,185,185,185,75632.50088,13992012.66
34:46.1,185,185,185,185,76035.05049,14066484.34
34:54.6,185,185,185,185,76035.05049,14066484.34
35:03.6,185,185,185,185,78504.12978,14523264.01
35:13.6,184,184,184,184,201.2748067,37034.56443
35:22.1,184,184,184,184,201.2748067,37034.56443
35:30.9,184,184,184,184,201.2748067,37034.56443
35:40.2,184,184,184,184,245.7188067,45212.26043
35:48.6,184,185,184,184,12527.3114,2305079.352
35:57.2,184,185,184,185,41333.86573,7634291.903
36:06.1,184,185,184,185,41333.86573,7634291.903
36:25.6,185,185,185,185,39.20770168,7253.424811
36:35.3,185,185,185,185,39.20770168,7253.424811
36:44.4,185,185,185,185,39.20770168,7253.424811
37:02.2,185,185,185,185,69.20770168,12803.42481
37:10.6,185,185,185,185,69.20770168,12803.42481
37:19.1,185,185,185,185,564.8299281,104493.5367
37:28.4,185,186,185,185,1161.275889,215373.6739
37:37.0,185,186,185,185,1161.275889,215373.6739
37:45.3,185,186,185,185,1161.275889,215373.6739
38:02.5,185,186,185,186,162209.3486,30170315.2
38:12.0,186,186,185,185,1920.873663,357225.6229
38:22.2,186,186,185,185,1920.873663,357225.6229
38:31.8,186,186,185,185,1920.873663,357225.6229
38:41.3,186,186,185,185,1920.873663,357225.6229
39:00.8,186,186,185,186,74141.71538,13790302.18
39:11.1,186,186,186,186,11087.78253,2062327.55
39:20.6,186,186,186,186,11087.78253,2062327.55
39:40.7,186,186,186,186,11087.78253,2062327.55
40:00.6,186,186,186,186,14423.63449,2682796.016
40:21.6,186,186,186,186,917.2448921,170607.5499
40:34.0,186,186,186,186,917.2448921,170607.5499
40:45.2,186,186,186,186,986.6893366,183524.2166
40:53.8,186,186,186,186,986.6893366,183524.2166
41:03.7,186,186,186,186,986.6893366,183524.2166
41:13.3,187,187,187,187,534.7593583,100000
41:22.3,187,187,187,187,534.7593583,100000
41:31.6,187,187,186,187,16406.01139,3067677.676
41:53.7,187,187,186,187,98457.49296,18411304.73
42:02.6,187,187,187,187,156,29172
42:11.6,187,187,187,187,12245.80888,2289966.261
42:19.7,187,187,187,187,12245.80888,2289966.261
42:37.4,187,187,187,187,12716.97437,2378074.207
42:45.8,187,187,187,187,13025.05562,2435685.401
43:04.6,186,186,186,186,63.56751336,11823.55748
43:14.4,186,186,186,186,8973.960643,1669156.68
